Frame,LeftArmError,RightArmError,LeftLegError,RightLegError
354,0.2931,0.3332,0.2218,0.2990
355,0.2931,0.3332,0.2218,0.2990
356,0.2931,0.3332,0.2218,0.2990
357,0.2931,0.3332,0.2218,0.2990
358,0.2931,0.3332,0.2218,0.2990
359,0.2931,0.3332,0.2218,0.2990
360,0.2931,0.3332,0.2218,0.2990
361,0.2931,0.3332,0.2218,0.2990
362,0.2931,0.3332,0.2218,0.2990
363,0.2931,0.3332,0.2218,0.2990
364,0.2931,0.3332,0.2218,0.2990
365,0.2931,0.3332,0.2218,0.2990
366,0.2931,0.3332,0.2218,0.2990
367,0.2931,0.3332,0.2218,0.2990
368,0.2931,0.3332,0.2218,0.2990
369,0.2931,0.3332,0.2218,0.2990
370,0.2931,0.3332,0.2218,0.2990
371,0.2931,0.3332,0.2218,0.2990
372,0.2931,0.3332,0.2218,0.2990
373,0.2931,0.3332,0.2218,0.2990
374,0.2931,0.3332,0.2218,0.2990
375,0.2931,0.3332,0.2218,0.2990
376,0.2931,0.3332,0.2218,0.2990
377,0.2931,0.3332,0.2218,0.2990
378,0.2931,0.3332,0.2218,0.2990
379,0.2931,0.3332,0.2218,0.2990
380,0.2931,0.3332,0.2218,0.2990
381,0.2931,0.3332,0.2218,0.2990
382,0.2931,0.3332,0.2218,0.2990
383,0.2931,0.3332,0.2218,0.2990
384,0.2931,0.3332,0.2218,0.2990
385,0.2931,0.3332,0.2218,0.2990
386,0.2931,0.3332,0.2218,0.2990
387,0.2931,0.3332,0.2218,0.2990
388,0.2931,0.3332,0.2218,0.2990
389,0.2931,0.3332,0.2218,0.2990
390,0.2931,0.3332,0.2218,0.2990
391,0.2931,0.3332,0.2218,0.2990
392,0.2931,0.3332,0.2218,0.2990
393,0.2931,0.3332,0.2218,0.2990
394,0.2931,0.3332,0.2218,0.2990
395,0.2931,0.3332,0.2218,0.2990
396,0.2931,0.3332,0.2218,0.2990
397,0.2931,0.3332,0.2218,0.2990
398,0.2931,0.3332,0.2218,0.2990
399,0.2931,0.3332,0.2218,0.2990
400,0.2931,0.3332,0.2218,0.2990
401,0.2931,0.3332,0.2218,0.2990
402,0.2931,0.3332,0.2218,0.2990
403,0.2931,0.3332,0.2218,0.2990
404,0.2931,0.3332,0.2218,0.2990
405,0.2931,0.3332,0.2218,0.2990
406,0.2931,0.3332,0.2218,0.2990
407,0.2931,0.3332,0.2218,0.2990
408,0.2931,0.3332,0.2218,0.2990
409,0.2931,0.3332,0.2218,0.2990
410,0.2931,0.3332,0.2218,0.2990
411,0.2931,0.3332,0.2218,0.2990
412,0.2931,0.3332,0.2218,0.2990
413,0.2931,0.3332,0.2218,0.2990
414,0.2931,0.3332,0.2218,0.2990
415,0.2931,0.3332,0.2218,0.2990
416,0.2931,0.3332,0.2218,0.2990
417,0.2931,0.3332,0.2218,0.2990
418,0.2931,0.3332,0.2218,0.2990
419,0.2931,0.3332,0.2218,0.2990
420,0.2931,0.3332,0.2218,0.2990
421,0.2931,0.3332,0.2218,0.2990
422,0.2931,0.3332,0.2218,0.2990
423,0.2931,0.3332,0.2218,0.2990
424,0.2931,0.3332,0.2218,0.2990
425,0.2931,0.3332,0.2218,0.2990
426,0.2931,0.3332,0.2218,0.2990
427,0.2931,0.3332,0.2218,0.2990
428,0.2931,0.3332,0.2218,0.2990
429,0.2931,0.3332,0.2218,0.2990
430,0.2931,0.3332,0.2218,0.2990
431,0.2931,0.3332,0.2218,0.2990
432,0.2931,0.3332,0.2218,0.2990
433,0.2931,0.3332,0.2218,0.2990
434,0.2931,0.3332,0.2218,0.2990
435,0.2931,0.3332,0.2218,0.2990
436,0.2931,0.3332,0.2218,0.2990
437,0.2931,0.3332,0.2218,0.2990
438,0.2931,0.3332,0.2218,0.2990
439,0.2931,0.3332,0.2218,0.2990
440,0.2931,0.3332,0.2218,0.2990
441,0.2931,0.3332,0.2218,0.2990
442,0.2931,0.3332,0.2218,0.2990
443,0.2931,0.3332,0.2218,0.2990
444,0.2931,0.3332,0.2218,0.2990
445,0.2931,0.3332,0.2218,0.2990
446,0.2931,0.3332,0.2218,0.2990
447,0.2931,0.3332,0.2218,0.2990
448,0.2931,0.3332,0.2218,0.2990
449,0.2931,0.3332,0.2218,0.2990
450,0.2931,0.3332,0.2218,0.2990
451,0.2931,0.3332,0.2218,0.2990
452,0.2931,0.3332,0.2218,0.2990
453,0.2931,0.3332,0.2218,0.2990
454,0.2931,0.3332,0.2218,0.2990
455,0.2931,0.3332,0.2218,0.2990
456,0.2931,0.3332,0.2218,0.2990
457,0.2931,0.3332,0.2218,0.2990
458,0.2931,0.3332,0.2218,0.2990
459,0.2931,0.3332,0.2218,0.2990
460,0.2931,0.3332,0.2218,0.2990
461,0.2931,0.3332,0.2218,0.2990
462,0.2931,0.3332,0.2218,0.2990
463,0.2931,0.3332,0.2218,0.2990
464,0.2931,0.3332,0.2218,0.2990
465,0.2931,0.3332,0.2218,0.2990
466,0.2931,0.3332,0.2218,0.2990
467,0.2931,0.3332,0.2218,0.2990
468,0.2931,0.3332,0.2218,0.2990
469,0.2931,0.3332,0.2218,0.2990
470,0.2931,0.3332,0.2218,0.2990
471,0.2931,0.3332,0.2218,0.2990
472,0.2931,0.3332,0.2218,0.2990
473,0.2931,0.3332,0.2218,0.2990
474,0.2931,0.3332,0.2218,0.2990
475,0.2931,0.3332,0.2218,0.2990
476,0.2931,0.3332,0.2218,0.2990
477,0.2931,0.3332,0.2218,0.2990
478,0.2931,0.3332,0.2218,0.2990
479,0.2931,0.3332,0.2218,0.2990
480,0.2931,0.3332,0.2218,0.2990
481,0.2931,0.3332,0.2218,0.2990
482,0.2931,0.3332,0.2218,0.2990
483,0.2931,0.3332,0.2218,0.2990
484,0.2931,0.3332,0.2218,0.2990
485,0.2931,0.3332,0.2218,0.2990
486,0.2931,0.3332,0.2218,0.2990
487,0.2931,0.3332,0.2218,0.2990
488,0.2931,0.3332,0.2218,0.2990
489,0.2931,0.3332,0.2218,0.2990
490,0.2931,0.3332,0.2218,0.2990
491,0.2931,0.3332,0.2218,0.2990
492,0.2931,0.3332,0.2218,0.2990
493,0.2931,0.3332,0.2218,0.2990
494,0.2931,0.3332,0.2218,0.2990
495,0.2931,0.3332,0.2218,0.2990
496,0.2931,0.3332,0.2218,0.2990
497,0.2931,0.3332,0.2218,0.2990
498,0.2931,0.3332,0.2218,0.2990
499,0.2931,0.3332,0.2218,0.2990
500,0.2931,0.3332,0.2218,0.2990
501,0.2931,0.3332,0.2218,0.2990
502,0.5195,0.1919,0.2289,0.2384
503,0.2937,0.3326,0.2223,0.2992
504,0.5253,0.1910,0.2277,0.2361
505,0.2947,0.3317,0.2231,0.2995
506,0.5302,0.1904,0.2300,0.2347
507,0.5341,0.1902,0.2275,0.2345
508,0.2958,0.3307,0.2240,0.2998
509,0.5379,0.1896,0.2296,0.2349
510,0.2961,0.3303,0.2243,0.3000
511,0.5408,0.1891,0.2288,0.2350
512,0.2964,0.3301,0.2246,0.3002
513,0.5432,0.1889,0.2281,0.2351
514,0.2967,0.3298,0.2248,0.3003
515,0.5472,0.1878,0.2287,0.2362
516,0.2979,0.3289,0.2258,0.3009
517,0.5489,0.1877,0.2290,0.2356
518,0.2978,0.3288,0.2258,0.3009
519,0.5497,0.1877,0.2286,0.2353
520,0.2977,0.3289,0.2259,0.3009
521,0.5501,0.1877,0.2278,0.2352
522,0.2976,0.3290,0.2260,0.3009
523,0.5500,0.1877,0.2301,0.2349
524,0.2975,0.3292,0.2260,0.3009
525,0.5502,0.1879,0.2283,0.2355
526,0.2975,0.3295,0.2260,0.3009
527,0.5492,0.1880,0.2279,0.2355
528,0.2975,0.3298,0.2260,0.3009
529,0.5489,0.1882,0.2301,0.2359
530,0.2975,0.3301,0.2261,0.3009
531,0.2975,0.3303,0.2261,0.3009
532,0.5473,0.1885,0.2277,0.2363
533,0.5465,0.1889,0.2303,0.2366
534,0.2975,0.3310,0.2263,0.3010
535,0.5447,0.1893,0.2290,0.2369
536,0.2974,0.3315,0.2264,0.3010
537,0.5436,0.1898,0.2307,0.2373
538,0.2972,0.3320,0.2264,0.3010
539,0.5406,0.1904,0.2285,0.2372
540,0.2969,0.3328,0.2263,0.3010
541,0.5388,0.1912,0.2303,0.2371
542,0.5365,0.1916,0.2285,0.2368
543,0.2963,0.3339,0.2263,0.3010
544,0.5343,0.1926,0.2301,0.2366
545,0.2958,0.3348,0.2263,0.3010
546,0.5301,0.1934,0.2284,0.2362
547,0.2954,0.3355,0.2263,0.3010
548,0.5274,0.1942,0.2302,0.2360
549,0.2949,0.3363,0.2263,0.3010
550,0.5229,0.1949,0.2284,0.2355
551,0.2944,0.3370,0.2263,0.3010
552,0.5192,0.1957,0.2306,0.2353
553,0.2936,0.3379,0.2264,0.3010
554,0.5132,0.1965,0.2284,0.2347
555,0.2930,0.3385,0.2264,0.3011
556,0.5083,0.1971,0.2312,0.2342
557,0.2922,0.3392,0.2263,0.3011
558,0.5017,0.1977,0.2291,0.2331
559,0.4987,0.1980,0.2296,0.2320
560,0.2906,0.3404,0.2261,0.3011
561,0.4909,0.1985,0.2297,0.2300
562,0.2897,0.3409,0.2260,0.3011
563,0.2892,0.3412,0.2260,0.3010
