Frame,FPS,MemoryMB,BelowTarget
408,Infinity,1502.67,0
409,Infinity,1502.85,0
410,Infinity,1502.57,0
411,Infinity,1502.74,0
412,Infinity,1503.09,0
413,Infinity,1502.67,0
414,Infinity,1503.55,0
415,Infinity,1503.07,0
416,Infinity,1503.79,0
417,Infinity,1503.62,0
418,Infinity,1503.53,0
419,Infinity,1503.68,0
420,Infinity,1503.90,0
421,Infinity,1503.73,0
422,Infinity,1503.98,0
423,Infinity,1504.38,0
424,Infinity,1504.33,0
425,Infinity,1504.14,0
426,Infinity,1504.55,0
427,Infinity,1504.44,0
428,Infinity,1504.75,0
429,Infinity,1504.72,0
430,Infinity,1504.95,0
431,Infinity,1504.85,0
432,Infinity,1504.80,0
433,Infinity,1505.30,0
434,Infinity,1504.96,0
435,Infinity,1505.03,0
436,Infinity,1505.30,0
437,Infinity,1505.29,0
438,Infinity,1505.95,0
439,Infinity,1505.59,0
440,Infinity,1505.89,0
441,Infinity,1506.14,0
442,Infinity,1505.95,0
443,Infinity,1506.26,0
444,Infinity,1506.31,0
445,Infinity,1506.29,0
446,Infinity,1506.79,0
447,Infinity,1507.04,0
448,Infinity,1506.80,0
449,Infinity,1507.04,0
450,Infinity,1507.24,0
451,Infinity,1507.54,0
452,Infinity,1507.27,0
453,Infinity,1506.88,0
454,Infinity,1507.31,0
455,Infinity,1507.30,0
456,Infinity,1507.53,0
457,Infinity,1507.52,0
458,Infinity,1507.58,0
459,Infinity,1507.47,0
460,Infinity,1507.48,0
461,Infinity,1508.08,0
462,42.68,1507.97,1
463,55.52,1507.96,1
464,61.40,1508.04,0
465,125.63,1507.60,0
466,180.36,1507.94,0
467,113.91,1507.70,0
468,177.38,1507.44,0
469,189.17,1508.00,0
470,131.39,1507.63,0
471,191.07,1507.72,0
472,214.05,1508.01,0
473,119.28,1508.08,0
474,161.24,1507.99,0
475,169.36,1508.08,0
476,114.98,1507.94,0
477,183.78,1507.31,0
478,151.02,1507.99,0
479,116.74,1507.65,0
480,169.02,1507.46,0
481,144.43,1507.94,0
482,107.87,1507.46,0
483,169.50,1507.63,0
484,175.41,1507.84,0
485,121.84,1507.46,0
486,173.45,1507.71,0
487,189.10,1507.61,0
488,134.18,1507.35,0
489,204.10,1507.08,0
490,195.93,1507.58,0
491,130.43,1507.37,0
492,206.45,1506.94,0
493,188.73,1507.24,0
494,205.79,1507.45,0
495,119.07,1507.28,0
496,187.94,1507.26,0
497,165.89,1507.52,0
498,113.94,1507.51,0
499,172.30,1507.22,0
500,176.12,1507.47,0
501,119.11,1507.20,0
502,194.64,1507.23,0
503,178.64,1507.57,0
504,111.51,1507.44,0
505,158.78,1507.71,0
506,174.91,1507.67,0
507,119.48,1507.56,0
508,211.18,1507.81,0
509,168.86,1507.87,0
510,120.68,1507.67,0
511,170.51,1507.59,0
512,154.23,1507.81,0
513,117.24,1507.65,0
514,185.63,1507.68,0
515,178.68,1507.74,0
516,122.52,1507.74,0
517,175.87,1507.84,0
518,179.58,1507.80,0
519,118.30,1507.76,0
520,195.62,1507.51,0
521,181.39,1507.61,0
522,118.72,1507.46,0
523,173.58,1507.66,0
524,193.80,1507.58,0
525,127.55,1507.45,0
526,208.13,1507.52,0
527,174.15,1507.50,0
528,102.93,1507.69,0
529,118.63,1507.25,0
530,147.84,1507.73,0
531,78.57,1507.07,0
532,115.53,1507.79,0
533,98.94,1507.07,0
534,162.29,1507.79,0
535,103.65,1507.30,0
536,152.08,1507.33,0
537,156.07,1507.79,0
538,120.32,1507.38,0
539,129.71,1507.31,0
540,87.56,1507.74,0
541,95.19,1507.79,0
542,93.31,1507.30,0
543,134.60,1507.73,0
544,129.54,1507.79,0
545,115.27,1507.20,0
546,125.82,1507.76,0
547,95.62,1507.49,0
548,139.42,1507.85,0
549,122.17,1507.69,0
550,171.62,1507.63,0
551,166.81,1507.80,0
